Course,Title,Instructor
PSYC 3,An Introduction to Cognitive Psychology,James Clifford Jr
PSYC 4,Abnormal Psychology,Daniel Bunce
PSYC 4,Abnormal Psychology,Sandra Trafalis
PSYC 4,Abnormal Psychology,Latosha Baldwin
PSYC 5,Introduction to Theories of Personality,Daniel Bunce
PSYC 8,Introduction to Social Psychology,Harvey Cohen
PSYC 8,Introduction to Social Psychology,Jeanette Tucker
PSYC 8,Introduction to Social Psychology,Robin Schulte
PSYC 10G,Child Development (The Early Years),Jayanti Roy
PSYC 10G,Child Development (The Early Years),"SUN, LI WEI"
PSYC 10G,Child Development (The Early Years),Shelley Gonzales
PSYC 10G,Child Development (The Early Years),Cristina Leal
PSYC 10H,Child Growth and Development (Middle Childhood and Adolescence),Jila Maleksalehi
PSYC 10H,Child Growth and Development (Middle Childhood and Adolescence),Julie Kennedy
PSYC 12,Psychology of Gender,Sandra Trafalis
PSYC 14,Developmental Aspects of Psychology,Melissa Tamas
PSYC 14,Developmental Aspects of Psychology,Susan Thomas
PSYC 15,Statistics and Research Methods in Social Science,Mark Healy
PSYC 15,Statistics and Research Methods in Social Science,Chris Olsen
PSYC 24,Introduction to Psychobiology,James Clifford Jr
RUSS 1,Elementary Russian (First Quarter),Larissa Chiriaeva
SIGN 1,Elementary American Sign Language (First Quarter),David Rawson
SOC 1,Introduction to Sociology,Steve Nava
SOC 1,Introduction to Sociology,Jovanah Arrington
SOC 1,Introduction to Sociology,Kamau Birago
SOC 1,Introduction to Sociology,Mark Pasion
SOC 1,Introduction to Sociology,Jason Dehaan
SOC 5,Sociology of Globalization and Social Change,Kamau Birago
SOC 15,Statistics and Research Methods in Social Science,Mark Healy
SOC 15,Statistics and Research Methods in Social Science,Chris Olsen
SOC 28,Sociology of Gender,Jason Dehaan
SOC 29,Sociology of Structural Racism in the United States,Tracy Dehaan
SOC 35,"Marriage, Family, and Intimate Relationships",Tracy Dehaan
SPAN 1,Elementary Spanish (First Quarter),Carmen Lizardi-Folley
SPAN 1,Elementary Spanish (First Quarter),Viviana Alcazar
SPAN 2,Elementary Spanish (Second Quarter),Carmen Lizardi-Folley
SPAN 3,Elementary Spanish (Third Quarter),Viviana Alcazar
THEA 1,Appreciation of Theatre,Vernon Gallegos
VIET 1,Elementary Vietnamese (First Quarter),Bac Tran
WMST 1,Introduction to Women's Studies,Marc Coronado
